storm_id,relative_time,ocean,image_number,img_file_path,wind_speed
gme,0,1,000,data/gme/gme_000.jpg,30
gme,1800,1,001,data/gme/gme_001.jpg,30
gme,3600,1,002,data/gme/gme_002.jpg,30
gme,5400,1,003,data/gme/gme_003.jpg,30
gme,7200,1,004,data/gme/gme_004.jpg,30
gme,10801,1,005,data/gme/gme_005.jpg,30
gme,12602,1,006,data/gme/gme_006.jpg,30
gme,14401,1,007,data/gme/gme_007.jpg,30
gme,16201,1,008,data/gme/gme_008.jpg,30
gme,18002,1,009,data/gme/gme_009.jpg,30
gme,21601,1,010,data/gme/gme_010.jpg,30
gme,23402,1,011,data/gme/gme_011.jpg,30
gme,25201,1,012,data/gme/gme_012.jpg,30
gme,27002,1,013,data/gme/gme_013.jpg,30
gme,28801,1,014,data/gme/gme_014.jpg,30
gme,32402,1,015,data/gme/gme_015.jpg,30
gme,34201,1,016,data/gme/gme_016.jpg,30
gme,36002,1,017,data/gme/gme_017.jpg,30
gme,37801,1,018,data/gme/gme_018.jpg,30
gme,39601,1,019,data/gme/gme_019.jpg,30
gme,43201,1,020,data/gme/gme_020.jpg,30
gme,45001,1,021,data/gme/gme_021.jpg,30
gme,46802,1,022,data/gme/gme_022.jpg,30
gme,48601,1,023,data/gme/gme_023.jpg,30
gme,50402,1,024,data/gme/gme_024.jpg,30
gme,54000,1,025,data/gme/gme_025.jpg,30
gme,55800,1,026,data/gme/gme_026.jpg,30
gme,57600,1,027,data/gme/gme_027.jpg,30
gme,59400,1,028,data/gme/gme_028.jpg,30
gme,61200,1,029,data/gme/gme_029.jpg,30
gme,64802,1,030,data/gme/gme_030.jpg,30
gme,66600,1,031,data/gme/gme_031.jpg,30
gme,68401,1,032,data/gme/gme_032.jpg,30
gme,70200,1,033,data/gme/gme_033.jpg,30
gme,72000,1,034,data/gme/gme_034.jpg,30
gme,75600,1,035,data/gme/gme_035.jpg,30
gme,77400,1,036,data/gme/gme_036.jpg,30
gme,79200,1,037,data/gme/gme_037.jpg,30
gme,80999,1,038,data/gme/gme_038.jpg,30
gme,82800,1,039,data/gme/gme_039.jpg,30
gme,86399,1,040,data/gme/gme_040.jpg,30
gme,88200,1,041,data/gme/gme_041.jpg,31
gme,90000,1,042,data/gme/gme_042.jpg,31
gme,91800,1,043,data/gme/gme_043.jpg,32
gme,93600,1,044,data/gme/gme_044.jpg,32
gme,97201,1,045,data/gme/gme_045.jpg,33
gme,99002,1,046,data/gme/gme_046.jpg,33
gme,100801,1,047,data/gme/gme_047.jpg,34
gme,102601,1,048,data/gme/gme_048.jpg,34
gme,104402,1,049,data/gme/gme_049.jpg,35
gme,108002,1,050,data/gme/gme_050.jpg,35
gme,109801,1,051,data/gme/gme_051.jpg,35
gme,111601,1,052,data/gme/gme_052.jpg,35
gme,113402,1,053,data/gme/gme_053.jpg,35
gme,115201,1,054,data/gme/gme_054.jpg,35
